1        [INFO ] |entrada_salida.GestionarArchivos                  | - Procesando: Prueba.csv
128      [INFO ] |preprocesamiento.Preprocesamiento                 | - Normalizando...
181      [INFO ] |preprocesamiento.Preprocesamiento                 | - Preprocesamiento Realizado
812      [INFO ] |preprocesamiento.Lematizar                        | - Lematizacion Realizada
863      [INFO ] |main.Main                                         | - Normalizacion terminada
872      [INFO ] |extraccion_caracteristicas.GestionarVectorPalabras| - Vector de palabras creado
879      [INFO ] |extraccion_caracteristicas.GestionarVectorPalabras| - DB: 0	WN: 0
879      [INFO ] |extraccion_caracteristicas.GestionarVectorPalabras| - Frecuencias generadas
881      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al guardar Archivo texto: El sistema no puede encontrar la ruta especificada
881      [INFO ] |extraccion_caracteristicas.GestionarDistancias    | - Calculando Similitud Coseno entre cada par de Comentarios...
882      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
883      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
883      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
883      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
883      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
884      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
886      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
886      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
886      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
886      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
887      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
890      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
890      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
891      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
891      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
891      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
894      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
894      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
895      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
895      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
895      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
898      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
898      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
898      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
898      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
898      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
901      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
901      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
902      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
902      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
902      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
904      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
905      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
905      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
905      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
905      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
908      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
908      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
908      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
908      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
909      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
911      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
911      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
911      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
912      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
912      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
914      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
915      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
915      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
915      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
915      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
918      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
918      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
918      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
918      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
919      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
921      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
921      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
922      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
922      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
922      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
924      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
924      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
924      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
924      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
925      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al escribir linea Archivo texto: null
927      [ERROR] |entrada_salida.GestionarArchivos                  | - Error al cerrar Archivo texto: null
927      [INFO ] |extraccion_caracteristicas.GestionarDistancias    | - Similitudes calculadas
